CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob..1,PutLTP
,,,,,,,,
973.95,99.9,0.0,0.0,18800.0,-1.8,22.57,0.0,3.15
948.45,99.8,31.13,92.64,18850.0,-1.94,21.71,0.1,3.3
877.9,99.7,18.5,98.89,18900.0,-2.23,21.1,0.2,3.75
845.1,99.5,27.37,92.85,18950.0,-2.49,20.34,0.4,4.1
791.4,99.2,24.76,93.54,19000.0,-2.89,19.73,0.7,4.7
743.7,98.9,24.29,92.59,19050.0,-3.26,18.98,1.1,5.2
685.5,98.3,19.9,94.91,19100.0,-3.76,18.29,1.6,5.9
627.9,97.5,13.74,98.55,19150.0,-4.35,17.58,2.4,6.7
586.4,96.4,17.85,93.94,19200.0,-4.9,16.71,3.5,7.3
532.7,95.0,15.07,95.28,19250.0,-5.72,15.97,4.9,8.35
486.95,93.2,15.56,92.86,19300.0,-6.89,15.36,6.7,10.0
436.55,90.8,14.14,92.51,19350.0,-8.33,14.73,9.1,12.0
390.1,88.0,13.88,90.22,19400.0,-10.49,14.34,11.9,15.4
334.3,84.5,10.84,92.41,19450.0,-13.23,13.97,15.4,19.9
299.15,80.5,13.03,84.4,19500.0,-16.83,13.72,19.4,26.35
259.3,75.9,13.2,79.34,19550.0,-21.17,13.49,24.0,34.7
217.2,70.8,12.61,74.76,19600.0,-26.47,13.4,29.1,46.2
180.85,65.2,12.51,68.55,19650.0,-32.1,13.02,34.7,58.3
149.65,59.3,12.65,61.46,19700.0,-38.97,13.18,40.6,77.6
121.25,53.2,12.68,54.17,19750.0,-45.95,13.14,46.7,98.7
97.75,47.0,12.85,46.84,19800.0,-53.17,12.84,52.9,121.25
76.7,41.0,12.89,39.7,19850.0,-60.32,12.87,58.9,150.1
59.5,35.1,12.98,33.02,19900.0,-66.77,13.15,64.8,184.4
45.05,29.6,13.01,26.85,19950.0,-73.92,12.54,70.3,215.4
34.4,24.5,13.19,21.62,20000.0,-78.99,12.86,75.4,255.9
24.95,20.0,13.18,16.81,20050.0,-84.46,12.52,79.9,295.1
18.9,16.0,13.44,13.23,20100.0,-87.74,12.91,83.9,340.15
13.65,12.6,13.54,10.06,20150.0,-93.33,11.55,87.3,380.75
10.1,9.7,13.76,7.71,20200.0,-94.63,12.19,90.2,429.45
7.65,7.3,14.06,5.98,20250.0,-92.1,15.49,92.6,485.3
6.0,5.4,14.47,4.73,20300.0,0.0,0.0,94.5,515.9
4.9,4.0,14.97,3.86,20350.0,0.0,0.0,95.9,544.05
4.1,2.8,15.51,3.2,20400.0,-96.13,16.27,97.1,628.95
3.65,2.0,16.2,2.78,20450.0,0.0,0.0,97.9,659.45
3.45,1.3,17.02,2.53,20500.0,0.0,0.0,98.6,719.25
3.05,0.9,17.63,2.2,20550.0,0.0,0.0,99.0,745.85
3.0,0.6,18.52,2.08,20600.0,0.0,0.0,99.3,797.0
2.8,0.4,19.25,1.89,20650.0,0.0,0.0,99.5,769.85
2.75,0.2,20.11,1.79,20700.0,0.0,0.0,99.7,892.6
2.6,0.1,20.84,1.65,20750.0,0.0,0.0,99.8,952.3
