CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob..1,PutLTP
,,,,,,,,
-,-,-,-,18300.0,-5.36,19.19,0.3,23.1
-,-,-,-,18350.0,-4.96,18.08,0.5,19.85
-,-,-,-,18550.0,-6.22,16.68,1.3,23.85
-,-,-,-,18600.0,-6.9,16.58,1.7,26.75
-,-,-,-,18700.0,-8.18,16.18,2.6,31.95
-,-,-,-,18750.0,-6.77,14.37,3.2,22.65
-,-,-,-,18800.0,-9.97,15.98,3.8,40
-,-,-,-,18850.0,-11.56,16.3,4.6,48.8
-,-,-,-,18900.0,-8.16,13.18,5.6,25.85
-,-,-,-,19000.0,-9.83,12.67,7.9,31.05
-,-,-,-,19050.0,-18.63,17.44,9.2,94.7
674.75,89.1,0,0,19100.0,-,-,-,-
-,-,-,-,19200.0,-15,11.92,14.3,48.95
574.95,76.3,15.52,70.89,19400.0,-,-,-,-
458.55,70.8,12.89,69.25,19500.0,-27.55,10.76,29.1,96.55
648.1,67.8,24.19,59.89,19550.0,-31.53,11.36,32.1,122.6
418.75,64.7,14.19,62.67,19600.0,-33.38,10.39,35.2,121.15
374.25,61.5,13.47,60.51,19650.0,-36.7,10.27,38.4,136.85
341.45,58.2,13.27,57.81,19700.0,-40.18,10.14,41.7,153.9
309.6,54.9,13.06,55.01,19750.0,-43.51,9.4,45,160.3
277.65,51.5,12.78,52.1,19800.0,-47.58,9.52,48.4,186.15
259.05,48.2,13.07,49.16,19850.0,-51.67,9.27,51.7,206.25
223.45,44.9,12.47,46,19900.0,-55.77,9.27,55,233.5
188.15,41.6,11.8,42.51,19950.0,-59.08,9.95,58.3,276.55
173,38.4,12.04,39.6,20000.0,-64.54,8.75,61.5,284.2
153.1,35.3,11.96,36.5,20050.0,-64.62,11.08,64.6,362
127.95,32.2,11.53,32.95,20100.0,0,0,67.7,275.75
122.4,29.3,12.06,30.89,20150.0,-,-,-,-
99.9,26.5,11.58,27.36,20200.0,0,0,73.4,330.75
76.5,21.4,11.61,22.29,20300.0,-,-,-,-
44,13.2,11.76,14.23,20500.0,-,-,-,-
118.4,11.5,17.71,22.67,20550.0,-,-,-,-
29.7,10,11.51,10.49,20600.0,-,-,-,-
67.8,7.5,16.04,15.76,20700.0,-,-,-,-
17.95,5.4,12.03,6.62,20800.0,-,-,-,-
19.4,4.6,12.7,6.75,20850.0,-,-,-,-
16,3.9,12.63,5.76,20900.0,-,-,-,-
12.55,1.9,13.72,4.35,21100.0,-,-,-,-
10,1,14.36,3.43,21250.0,-,-,-,-
10,0.8,14.76,3.35,21300.0,-,-,-,-
