CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob..1,PutLTP
,,,,,,,,
1105.6,83.2,12.29,84.52,19000.0,-17.36,13.35,16.7,109.85
1034.7,82,10.83,86.22,19050.0,-18.34,13.21,17.9,116.55
1162.35,80.7,17.74,74.38,19100.0,-19.26,13.02,19.2,122.2
978.85,79.3,12.08,81.09,19150.0,-20.08,12.73,20.6,126.05
936,77.9,11.94,79.95,19200.0,-21.43,12.72,22,136.9
881.65,76.5,11.32,79.68,19250.0,-22.17,12.32,23.4,138.5
864.25,75,12.14,76.65,19300.0,-23.82,12.42,24.9,153.4
800,73.4,11.13,76.88,19350.0,-25.34,12.42,26.5,166.45
799.9,71.8,12.46,73.02,19400.0,-26.86,12.38,28.1,179.25
819.25,70.2,14.3,69.15,19450.0,-28.27,12.23,29.7,189.75
717.8,68.6,12.04,70.31,19500.0,-29.83,12.14,31.3,202.55
708.8,66.9,12.85,67.61,19550.0,-31.18,11.85,33,210
647.35,65.1,11.92,66.94,19600.0,-33.19,12.04,34.8,232.65
695,63.4,14.4,62.98,19650.0,-35.12,12.16,36.5,254.45
579.95,61.6,11.79,63.38,19700.0,-36.71,11.89,38.3,264.85
539.95,59.8,11.5,61.72,19750.0,-38.79,12.15,40.1,293.3
514.45,58,11.61,59.67,19800.0,-40.41,11.74,41.9,300.45
511.2,56.1,12.36,57.36,19850.0,-42.37,11.75,43.8,322.55
449.4,54.3,11.34,55.81,19900.0,-44.25,11.51,45.6,336.85
420,52.5,11.25,53.78,19950.0,-46.2,11.13,47.4,347.65
398.85,50.6,11.38,51.72,20000.0,-48.29,11.14,49.3,372.55
350,48.8,10.66,49.53,20050.0,-50.39,11.02,51.1,394.15
342.75,46.9,11.13,47.55,20100.0,-52.45,11.13,53,424.45
326.55,45.1,11.31,45.59,20150.0,-55.81,9.21,54.8,386.8
295.35,43.3,11.02,43.35,20200.0,-56.57,11.13,56.6,480.85
260.65,41.5,10.59,40.88,20250.0,-60,9.78,58.4,465.55
249.25,39.8,10.82,39.06,20300.0,-60.47,11.24,60.1,545
250.05,38,11.4,37.77,20350.0,-67.49,8.13,61.9,477.5
210,36.3,10.69,34.88,20400.0,-64.74,10.95,63.6,600
-,-,-,-,20450.0,-68.1,10.11,65.3,607.45
176.7,33,10.63,30.9,20500.0,-70.12,10.09,66.9,642.15
-,-,-,-,20550.0,-82.28,6.5,68.5,584.5
142.25,29.8,10.38,26.74,20600.0,-,-,-,-
179.15,28.2,12.12,28.39,20650.0,-,-,-,-
118.1,26.8,10.36,23.24,20700.0,-,-,-,-
110.9,25.3,10.5,21.93,20750.0,-,-,-,-
98.75,23.9,10.4,20.17,20800.0,-,-,-,-
82.45,21.2,10.46,17.42,20900.0,-,-,-,-
69.9,18.8,10.58,15.12,21000.0,-89.23,8.87,81.1,1020.6
49.1,14.4,10.77,11.17,21200.0,-,-,-,-
