CallLTP,ITM Prob.,CallIV,CallDelta,StrikePrice,PutDelta,PutIV,ITM Prob..1,PutLTP
,,,,,,,,
8800,100,0,0,11000.0,-0.16,32.07,0,2.05
-,-,-,-,12000.0,-0.25,28.82,0,3.05
7164,100,42.06,95.58,13000.0,-0.71,27.89,0,9.05
-,-,-,-,14000.0,-1.45,26.01,0,18.6
-,-,-,-,14500.0,-0.41,19.09,0,3.35
5140,99.8,28.69,94.86,15000.0,-2.18,22.69,0.1,25.55
4190.9,99.1,26.26,91.81,16000.0,-3.32,19.36,0.8,34.95
3850,98,29.73,86.3,16500.0,-,-,-,-
3269.3,96,23.81,87.11,17000.0,-6.13,16.85,3.9,61.6
2830.7,92.5,22.81,83.68,17500.0,-8.55,15.7,7.4,84.9
2374.25,87.4,20.89,80.33,18000.0,-12.01,14.56,12.5,118.45
1909.25,80.3,18.5,76.5,18500.0,-,-,-,-
1542.85,71.6,18.01,69.63,19000.0,-24.39,12.54,28.3,249.3
837.45,51,15.43,53.04,20000.0,-47.12,10.16,48.9,508.65
339.45,31.1,13.28,31.4,21000.0,-92.89,4.73,68.8,967.45
107.8,16.2,12.34,13.55,22000.0,0,0,83.7,1706.2
54,7.2,13.69,6.99,23000.0,0,0,92.7,2555
33.15,2.8,15.33,4.18,24000.0,-,-,-,-
25.1,0.9,17.24,2.97,25000.0,-,-,-,-
